index,ID,Label,snr,amplitude,peak_frequency,central_freq,duration,bandwidth,chisq,chisq_dof,GPStime,channel,Air_Compressor,Blip,Chirp,Extremely_Loud,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,None_of_the_Above,No_Glitch,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
15692,OeYBA7gvB9,Scratchy,7.58398,6.87073e-23,263.94216,255.73776,1.10547,241.82233,0.0,0.0,1128879290.17,H1:GDS-CALIB_STRAIN,2.99626545797e-09,4.37177072321e-10,4.92816765174e-09,8.06282152155e-09,1.78548743861e-05,4.6213362026e-09,1.3202832605e-08,6.03869665383e-08,6.87261774601e-07,0.00034002904431,1.53577893798e-05,1.97615079855e-09,7.98534927071e-09,6.31322407685e-08,7.48577555498e-09,0.999625504017,1.64635471922e-10,2.81755903331e-11,6.61946442104e-10,4.17239078843e-07
15693,uxCML0mr7N,Scratchy,7.8259,5.47163e-23,171.21339,1200.15364,0.21289,2180.7371,0.0,0.0,1128872535.03,H1:GDS-CALIB_STRAIN,6.81993972407e-09,2.99436322848e-07,1.07998084786e-06,3.06592767174e-07,1.10512755782e-05,1.3307138147e-07,1.65541152342e-07,1.68710485582e-08,3.28733477772e-07,0.000216807762627,1.01322202681e-05,1.20312124707e-08,7.12773442046e-07,0.00013420637697,3.84717644408e-08,0.999624431133,3.6821653282e-08,8.06392019825e-09,1.62760329658e-07,6.2303072923e-08
15694,ftV4gCFXt2,Scratchy,10.6404,2.09738e-22,300.22684,3424.4002,3.0,6830.27886,0.0,0.0,1130094147.65,H1:GDS-CALIB_STRAIN,1.28288948908e-10,2.58785926022e-09,8.16240941504e-09,7.47370698662e-09,1.82941539606e-06,4.65434135677e-09,1.22589067786e-08,2.50852263406e-08,6.43576925086e-07,0.000370106165064,2.13051362152e-06,4.1271747131e-10,3.74810893433e-09,1.22227550037e-06,6.93062052193e-10,0.999623715878,2.57748350441e-10,2.42266953027e-11,9.58642800697e-08,1.99821201363e-07
15695,s4bT4hXnND,Scratchy,12.26416,1.12355e-22,263.94216,351.44787,1.875,433.24254,0.0,0.0,1129311419.85,H1:GDS-CALIB_STRAIN,1.44583207629e-08,2.27145804388e-07,2.02244919478e-07,1.63645292872e-08,3.4844786569e-05,3.41237038626e-09,1.0463080713e-07,8.06580402468e-08,8.074620564e-05,0.000101244244433,0.000159237941261,1.93005145199e-09,8.38430594285e-07,5.01397039443e-07,6.78586957292e-07,0.999620974064,1.90622007068e-09,8.17445278134e-11,2.1192658739e-09,2.80907897832e-07
15696,AnxVQVsjFW,Scratchy,8.63325,6.35828e-23,189.36444,250.32901,0.29688,252.63983,0.0,0.0,1128867822.79,H1:GDS-CALIB_STRAIN,1.29275090632e-10,8.14688547734e-08,2.69494506711e-07,7.8640933765e-09,3.78790427931e-05,1.36122926264e-08,1.33180648731e-07,4.08014351194e-08,2.08026108339e-07,0.000339050631737,2.19841339799e-07,1.56468518697e-10,1.75218381471e-10,2.79999812847e-06,5.68547653401e-09,0.999619305134,7.65558949567e-10,8.69986461344e-12,3.99500738046e-10,1.27940555927e-08
15697,STS7krpz1M,Scratchy,8.31871,5.49812e-23,159.83432,157.98648,1.4375,154.85833,0.0,0.0,1130086138.74,H1:GDS-CALIB_STRAIN,1.04638355272e-11,9.22936838066e-09,7.89123006939e-08,6.60602994529e-09,7.02933334651e-07,4.31500524201e-09,6.01781624532e-10,8.52560155806e-09,1.91778841696e-08,0.000386063853512,1.13287956083e-06,4.84991352634e-11,8.27490020949e-10,6.95593200817e-07,3.22769172501e-10,0.999611258507,1.4065639764e-09,1.08910285304e-11,2.78181783164e-10,1.25880106339e-08
15698,CsiHtqKWg7,Scratchy,8.88285,5.17026e-23,219.05833,257.40816,0.14844,208.21559,0.0,0.0,1130080340.78,H1:GDS-CALIB_STRAIN,7.36509164767e-09,3.80603205485e-06,5.5786813391e-06,5.35863478035e-08,1.6333122403e-05,5.30655910325e-08,3.67673663959e-07,2.48916330747e-06,1.99469395739e-05,0.000129427193315,0.000143957207911,1.50568304491e-08,5.14700559506e-07,1.98226030079e-06,3.18822571899e-07,0.999609529972,3.15768033943e-08,1.05876427625e-08,7.02881521875e-08,6.54988689348e-05
15699,vBrNJS2Q0k,Scratchy,9.20337,5.69202e-23,205.67515,1337.80335,4.55469,2511.31971,0.0,0.0,1130500495.01,H1:GDS-CALIB_STRAIN,7.96849086715e-10,5.00359647049e-07,5.61294086765e-07,2.38192257029e-08,1.91908475244e-06,8.53902690778e-08,9.6835126584e-09,1.02097651222e-07,8.13359122276e-07,0.000349959736923,2.62302892224e-05,1.10885678417e-09,4.33311896586e-07,9.262956155e-06,1.37870281858e-09,0.999606907368,9.36855570899e-09,2.65126004484e-10,2.96646600617e-08,3.1649592529e-06
15700,V9TpIYTxwi,Scratchy,8.5925,4.8759e-23,237.32802,331.97292,0.22656,261.17607,0.0,0.0,1129298426.68,H1:GDS-CALIB_STRAIN,1.49960888152e-09,2.85501386088e-07,2.5726376407e-07,5.8206488518e-08,1.95470943254e-06,1.39271293165e-07,7.88258063267e-08,2.69059370339e-07,3.37750566359e-06,0.000342569168424,6.60245632389e-06,5.37475308704e-09,1.96979499378e-07,3.80993405997e-05,4.82206186092e-09,0.99959987402,5.11718312168e-09,5.99834626414e-10,3.79103965997e-07,5.86094984101e-06
15701,XMjen592UO,Scratchy,7.85239,4.70284e-23,145.27264,156.56658,0.51562,93.56298,0.0,0.0,1127755897.11,H1:GDS-CALIB_STRAIN,9.00995510839e-12,2.98179713809e-07,6.75490980484e-07,1.08230002738e-08,2.12623695006e-06,1.30565496193e-08,2.26034977402e-08,7.47822568314e-08,1.59246212661e-07,0.000388814602047,2.21741515816e-06,2.42445757914e-10,3.9850903133e-10,7.38622611607e-06,7.49228123986e-10,0.999598145485,7.05637548393e-09,1.04840608417e-10,1.51586576624e-09,6.09290751186e-08
15703,APDR66asG2,Scratchy,11.04496,6.6166e-23,212.58041,243.21701,1.04688,266.86384,0.0,0.0,1129298893.05,H1:GDS-CALIB_STRAIN,1.12076758985e-09,3.82796514486e-08,7.17315202792e-08,1.60881654665e-08,8.57897987316e-07,4.90085128035e-09,3.17672430583e-07,9.23656841678e-07,2.16775351873e-05,0.000375183240976,3.18490720019e-06,1.45400946838e-09,4.88407314592e-09,2.55584609477e-07,3.4770426538e-08,0.999596595764,9.26158705283e-10,3.52279261318e-10,2.33272778871e-09,8.53759161146e-07
15706,LHTf5yEuUL,Scratchy,9.82428,8.98246e-23,263.94216,304.06157,0.75,316.99876,0.0,0.0,1129041016.46,H1:GDS-CALIB_STRAIN,1.65312638578e-10,5.64842661532e-09,1.8739934049e-08,4.7224628652e-09,1.73042664642e-07,2.4600876003e-08,1.55688406611e-09,1.6095535571e-08,9.70150182411e-08,0.000403981655836,2.69177945711e-07,1.60591817622e-10,3.72804720428e-08,8.52962728004e-07,2.22008675332e-10,0.99959307909,1.55071899766e-10,4.46362391493e-12,8.1394809115e-08,1.34769038596e-06
15709,nJtauEuJLh,Scratchy,7.71972,4.91924e-23,212.58041,253.6414,0.25391,246.01505,0.0,0.0,1128781813.34,H1:GDS-CALIB_STRAIN,1.03434993903e-08,4.37970720668e-06,1.4206175365e-05,4.96099410441e-08,0.000130947155412,1.07978245012e-07,6.39313554984e-07,3.79366753123e-07,3.07575169245e-06,0.000152763124788,3.8060323277e-05,2.5793124081e-08,2.95299571462e-07,1.78921327461e-05,3.81833658025e-08,0.999578535557,1.45999488055e-08,4.87944369354e-08,7.03365259369e-08,5.8431418438e-05
